,Rewards,Score,Episode_Length
989,61,6,72
990,381,38,392
991,72,7,83
992,59,6,70
993,581,58,592
994,161,16,172
995,111,11,122
996,172,17,183
997,110,11,121
998,17,2,28
999,12,1,23
1000,281,28,292
1001,161,16,172
1002,332,33,343
1003,51,5,62
1004,40,4,51
1005,191,19,202
1006,351,35,362
1007,149,15,160
1008,251,25,262
1009,21,2,32
1010,7,1,18
1011,-5,0,6
1012,21,2,32
1013,221,22,232
1014,72,7,83
1015,61,6,72
1016,411,41,422
1017,831,83,842
1018,4,1,15
1019,161,16,172
1020,271,27,282
1021,67,7,78
1022,108,11,119
1023,41,4,52
1024,181,18,192
1025,41,4,52
1026,78,8,89
1027,401,40,412
1028,71,7,82
1029,449,45,460
1030,168,17,179
1031,33,4,44
1032,11,1,22
1033,41,4,52
1034,151,15,162
1035,241,24,252
1036,31,3,42
1037,161,16,172
1038,2,0,13
1039,3,1,14
1040,211,21,222
1041,501,50,512
1042,136,14,147
1043,501,50,512
1044,203,21,214
1045,73,8,84
1046,1,0,12
1047,121,12,132
1048,111,11,122
1049,18,2,29
1050,31,3,42
1051,131,13,142
1052,1,0,12
1053,112,11,123
1054,77,8,88
1055,21,2,32
1056,221,22,232
1057,71,7,82
1058,171,17,182
1059,269,27,280
1060,301,30,312
1061,14,2,25
1062,91,9,102
1063,241,24,252
1064,301,30,312
1065,241,24,252
1066,7,1,18
1067,51,5,62
1068,11,1,22
1069,11,1,22
1070,321,32,332
1071,11,1,22
1072,16,2,27
1073,183,19,194
1074,211,21,222
1075,41,4,52
1076,201,20,212
1077,31,3,42
1078,121,12,132
1079,411,41,422
1080,51,5,62
1081,331,33,342
1082,88,9,99
1083,131,13,142
1084,57,6,68
1085,111,11,122
1086,121,12,132
1087,141,14,152
1088,41,4,52
1089,80,8,91
1090,141,14,152
1091,101,10,112
1092,781,78,792
1093,1,0,12
1094,441,44,452
1095,31,3,42
1096,33,4,44
1097,31,3,42
1098,121,12,132
1099,661,66,672
1100,181,18,192
1101,11,1,22
1102,261,26,272
1103,-4,0,7
1104,391,39,402
1105,186,19,197
1106,241,24,252
1107,305,31,316
1108,101,10,112
1109,153,16,164
1110,44,5,55
1111,171,17,182
1112,61,6,72
1113,92,9,103
1114,61,6,72
1115,411,41,422
1116,1,0,12
1117,211,21,222
1118,231,23,242
1119,21,2,32
1120,281,28,292
1121,161,16,172
1122,7,1,18
1123,121,12,132
1124,91,9,102
1125,1,0,12
1126,442,44,453
1127,288,29,299
1128,251,25,262
1129,101,10,112
1130,51,5,62
1131,65,7,76
1132,85,9,96
1133,91,9,102
1134,121,12,132
1135,71,7,82
1136,241,24,252
1137,71,7,82
1138,151,15,162
1139,11,1,22
1140,51,5,62
1141,79,8,90
1142,151,15,162
1143,101,10,112
1144,487,49,498
1145,31,3,42
1146,161,16,172
1147,591,59,602
1148,61,6,72
1149,312,31,323
1150,61,6,72
1151,171,17,182
1152,231,23,242
1153,28,3,39
1154,91,9,102
1155,111,11,122
1156,115,12,126
1157,8,1,19
1158,34,4,45
1159,147,15,158
1160,348,35,359
1161,160,16,171
1162,70,7,81
1163,181,18,192
1164,21,2,32
1165,71,7,82
1166,99,10,110
1167,41,4,52
1168,61,6,72
1169,31,3,42
1170,1,0,12
1171,181,18,192
1172,91,9,102
1173,274,28,285
1174,241,24,252
1175,61,6,72
1176,96,10,107
1177,101,10,112
1178,571,57,582
1179,141,14,152
1180,31,3,42
1181,21,2,32
1182,91,9,102
1183,291,29,302
1184,361,36,372
1185,27,3,38
1186,-8,0,3
1187,41,4,52
1188,7,1,18
1189,21,2,32
1190,81,8,92
1191,11,1,22
1192,61,6,72
1193,80,8,91
1194,21,2,32
1195,21,2,32
1196,52,5,63
1197,31,3,42
1198,42,4,53
1199,354,36,365
1200,31,3,42
1201,51,5,62
1202,41,4,52
1203,51,5,62
1204,141,14,152
1205,173,18,184
1206,53,6,64
1207,271,27,282
1208,272,27,283
1209,16,2,27
1210,33,4,44
1211,111,11,122
1212,151,15,162
1213,1,0,12
1214,91,9,102
1215,81,8,92
1216,11,1,22
1217,201,20,212
1218,1,0,12
1219,18,2,29
1220,141,14,152
1221,43,5,54
1222,214,22,225
1223,11,1,22
1224,221,22,232
1225,41,4,52
1226,31,3,42
1227,451,45,462
1228,17,2,28
1229,11,1,22
1230,11,1,22
1231,111,11,122
1232,31,3,42
1233,161,16,172
1234,181,18,192
1235,31,3,42
1236,221,22,232
1237,151,15,162
1238,261,26,272
1239,141,14,152
1240,101,10,112
1241,11,1,22
1242,108,11,119
1243,141,14,152
1244,111,11,122
1245,61,6,72
1246,1,0,12
1247,91,9,102
