,Rewards,Score,Episode_Length
1083,38,4,49
1084,811,81,822
1085,692,69,703
1086,43,5,54
1087,62,6,73
1088,72,7,83
1089,1513,152,1524
1090,103,11,114
1091,3,1,14
1092,231,23,242
1093,203,21,214
1094,32,3,43
1095,22,2,33
1096,569,57,580
1097,101,10,112
1098,142,14,153
1099,12,1,23
1100,8,1,19
1101,11,1,22
1102,59,6,70
1103,358,36,369
1104,38,4,49
1105,11,1,22
1106,715,72,726
1107,55,6,66
1108,5,1,16
1109,153,16,164
1110,93,10,104
1111,481,48,492
1112,480,48,491
1113,391,39,402
1114,201,20,212
1115,241,24,252
1116,371,37,382
1117,371,37,382
1118,11,1,22
1119,841,84,852
1120,1012,101,1023
1121,262,26,273
1122,281,28,292
1123,351,35,362
1124,41,4,52
1125,804,81,815
1126,192,19,203
1127,121,12,132
1128,91,9,102
1129,9,1,20
1130,109,11,120
1131,201,20,212
1132,311,31,322
1133,-6,0,5
1134,-6,0,5
1135,324,33,335
1136,213,22,224
1137,51,5,62
1138,45,5,56
1139,45,5,56
1140,535,54,546
1141,36,4,47
1142,25,3,36
1143,131,13,142
1144,15,2,26
1145,91,9,102
1146,171,17,182
1147,2,0,13
1148,851,85,862
1149,112,11,123
1150,1,0,12
1151,42,4,53
1152,31,3,42
1153,11,1,22
1154,1,0,12
1155,11,1,22
1156,86,9,97
1157,61,6,72
1158,43,5,54
1159,141,14,152
1160,12,1,23
1161,206,21,217
1162,12,1,23
1163,286,29,297
1164,86,9,97
1165,36,4,47
1166,1432,143,1443
1167,308,31,319
1168,372,37,383
1169,2,0,13
1170,3,1,14
1171,31,3,42
1172,3,1,14
1173,122,12,133
1174,73,8,84
1175,78,8,89
1176,311,31,322
1177,31,3,42
1178,1,0,12
1179,154,16,165
1180,363,37,374
1181,1051,105,1062
1182,181,18,192
1183,351,35,362
1184,274,28,285
1185,311,31,322
1186,21,2,32
1187,1,0,12
1188,1,0,12
1189,128,13,139
1190,311,31,322
1191,31,3,42
1192,341,34,352
1193,98,10,109
1194,301,30,312
1195,88,9,99
1196,331,33,342
1197,130,13,141
1198,254,26,265
1199,89,9,100
1200,151,15,162
1201,104,11,115
1202,133,14,144
1203,549,55,560
1204,124,13,135
1205,134,14,145
1206,784,79,795
1207,74,8,85
1208,553,56,564
1209,115,12,126
1210,271,27,282
1211,418,42,429
1212,448,45,459
1213,298,30,309
1214,-6,0,5
1215,701,70,712
1216,131,13,142
1217,331,33,342
1218,183,19,194
1219,381,38,392
1220,933,94,944
1221,91,9,102
1222,21,2,32
1223,91,9,102
1224,86,9,97
1225,106,11,117
1226,33,4,44
1227,321,32,332
1228,338,34,349
1229,41,4,52
1230,66,7,77
1231,88,9,99
1232,41,4,52
1233,8,1,19
1234,185,19,196
1235,-2,0,9
1236,122,12,133
1237,48,5,59
1238,49,5,60
1239,622,62,633
1240,296,30,307
1241,141,14,152
1242,1,0,12
1243,105,11,116
1244,-6,0,5
1245,93,10,104
1246,-2,0,9
1247,63,7,74
1248,535,54,546
1249,326,33,337
1250,401,40,412
1251,246,25,257
1252,86,9,97
1253,281,28,292
1254,62,6,73
1255,916,92,927
